8b/10b Known-Answer Table
Generated by gen_kat.py after the exhaustive property check below passed.
Codewords are shown in transmit order abcdei fghj (leftmost bit on the wire first).

symbol   byte K        RD- codeword  RD'    RD+ codeword  RD' 
--------------------------------------------------------------------------
K.28.0   0x1C 1        001111 0100   -    110000 1011   +   
K.28.1   0x3C 1        001111 1001   +    110000 0110   -   
K.28.2   0x5C 1        001111 0101   +    110000 1010   -   
K.28.3   0x7C 1        001111 0011   +    110000 1100   -   
K.28.4   0x9C 1        001111 0010   -    110000 1101   +   
K.28.5   0xBC 1        001111 1010   +    110000 0101   -   
K.28.6   0xDC 1        001111 0110   +    110000 1001   -   
K.28.7   0xFC 1        001111 1000   -    110000 0111   +   
K.23.7   0xF7 1        111010 1000   -    000101 0111   +   
K.27.7   0xFB 1        110110 1000   -    001001 0111   +   
K.29.7   0xFD 1        101110 1000   -    010001 0111   +   
K.30.7   0xFE 1        011110 1000   -    100001 0111   +   
D.0.0    0x00 0        100111 0100   -    011000 1011   +   
D.31.7   0xFF 0        101011 0001   -    010100 1110   +   
D.28.5   0xBC 0        001110 1010   -    001110 1010   +   
D.21.2   0x55 0        101010 0101   -    101010 0101   +   
D.10.5   0xAA 0        010101 1010   -    010101 1010   +   
D.31.3   0x7F 0        101011 0011   +    010100 1100   -   
D.11.7   0xEB 0        110100 1110   +    110100 1000   -   
D.13.7   0xED 0        101100 1110   +    101100 1000   -   
D.14.7   0xEE 0        011100 1110   +    011100 1000   -   
D.17.7   0xF1 0        100011 0111   +    100011 0001   -   
D.18.7   0xF2 0        010011 0111   +    010011 0001   -   
D.20.7   0xF4 0        001011 0111   +    001011 0001   -   
